_id,subject,difficulty,difficultyScore,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,graph,tags,metadata.generatedBy,metadata.generatedAt,metadata.timesUsed,metadata.averageAccuracy,metadata.averageTimeSpent,createdAt,updatedAt
batch02-math-001,math,easy,4,"If 4x - 12 = 8, what is the value of x?",3,5,-5,7,B,Add 12 to both sides to get 4x = 20. Divide by 4 to find x = 5.,,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch02-math-002,math,easy,4,"If -5x + 15 = -10, what is the value of x?",5,-5,7,3,A,Subtract 15 to both sides to get -5x = -25. Divide by -5 to find x = 5.,,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch02-math-003,math,easy,4,"If 6x - 18 = 0, what is the value of x?",5,1,3,-3,C,Add 18 to both sides to get 6x = 18. Divide by 6 to find x = 3.,,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch02-math-004,math,easy,4,"If 7x + 21 = 0, what is the value of x?",3,-1,-5,-3,D,Subtract 21 to both sides to get 7x = -21. Divide by 7 to find x = -3.,,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch02-math-005,math,medium,6,"If 3x - 9 = 27, what is the value of x?",14,12,-12,10,B,Add 9 to both sides to get 3x = 36. Divide by 3 to find x = 12.,,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch02-math-006,math,medium,6,"If 8x + 4 = 28, what is the value of x?",5,3,1,-3,B,Subtract 4 to both sides to get 8x = 24. Divide by 8 to find x = 3.,,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch02-math-007,math,medium,6,"If 9x - 6 = 30, what is the value of x?",6,2,4,-4,C,Add 6 to both sides to get 9x = 36. Divide by 9 to find x = 4.,,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch02-math-008,math,medium,6,"If -4x - 8 = 16, what is the value of x?",-4,-8,-6,6,C,Add 8 to both sides to get -4x = 24. Divide by -4 to find x = -6.,,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch02-math-009,math,hard,8,"If 10x + 25 = 5, what is the value of x?",0,-4,-2,2,C,Subtract 25 to both sides to get 10x = -20. Divide by 10 to find x = -2.,,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch02-math-010,math,hard,8,"If -6x + 12 = -30, what is the value of x?",5,7,-7,9,B,Subtract 12 to both sides to get -6x = -42. Divide by -6 to find x = 7.,,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
