_id,subject,difficulty,difficultyScore,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,graph,tags,metadata.generatedBy,metadata.generatedAt,metadata.timesUsed,metadata.averageAccuracy,metadata.averageTimeSpent,createdAt,updatedAt
batch06-math-001,math,easy,4,Solve for x: 6x - 12 = 18.,3,6,9,5,D,"Add 12 to both sides, then divide by 6 to get x = 5.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch06-math-002,math,easy,4,Solve for x: -5x + 20 = -10.,10,7,4,6,D,"Subtract 20 to both sides, then divide by -5 to get x = 6.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch06-math-003,math,easy,4,Solve for x: 8x + 16 = 48.,2,4,5,8,B,"Subtract 16 to both sides, then divide by 8 to get x = 4.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch06-math-004,math,medium,6,Solve for x: 12x - 24 = 48.,6,7,4,10,A,"Add 24 to both sides, then divide by 12 to get x = 6.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch06-math-005,math,medium,6,Solve for x: -9x - 18 = 9.,-5,-2,1,-3,D,"Add 18 to both sides, then divide by -9 to get x = -3.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch06-math-006,math,medium,6,Solve for x: 13x + 26 = 39.,2,1,-1,5,B,"Subtract 26 to both sides, then divide by 13 to get x = 1.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch06-math-007,math,hard,8,Solve for x: 4x - 28 = -12.,2,4,5,8,B,"Add 28 to both sides, then divide by 4 to get x = 4.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch06-math-008,math,hard,8,Solve for x: -10x + 6 = 76.,-7,-6,-3,-9,A,"Subtract 6 to both sides, then divide by -10 to get x = -7.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch06-math-009,math,easy,4,Which value satisfies 15 - 5x ≥ -10?,-2,2,1,4,B,Isolate x to find x ≥ 2.,,heart of algebra|inequalities,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch06-math-010,math,easy,4,Which value satisfies 4x + 7 ≤ 27?,6.75,5.75,-6.75,8.75,A,Isolate x to find x ≤ 6.75.,,heart of algebra|inequalities,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch06-math-011,math,medium,6,Which value satisfies 9 - 3x ≥ 0?,-1,2,0,3,C,Isolate x to find x ≥ 0.,,heart of algebra|inequalities,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch06-math-012,math,medium,6,Which value satisfies 6x - 11 ≤ 37?,8.17,6.17,5.17,-6.17,B,Isolate x to find x ≤ 6.17.,,heart of algebra|inequalities,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch06-math-013,math,medium,6,Solve the system: 4x + 3y = 50 and x - y = 5. What is x?,11.29,9.29,6.29,-9.29,B,Substitute x = y + 5 into the first equation to get y = 4.29 and x = 9.29.,,heart of algebra|systems of equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch06-math-014,math,medium,6,Solve the system: 6x + 6y = 84 and x - y = 7. What is x?,10.5,12.5,7.5,-10.5,A,Substitute x = y + 7 into the first equation to get y = 3.5 and x = 10.5.,,heart of algebra|systems of equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch06-math-015,math,hard,8,Solve the system: 8x + -4y = 44 and x - y = -3. What is x?,14,-14,16,11,A,Substitute x = y + -3 into the first equation to get y = 17 and x = 14.,,heart of algebra|systems of equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch06-math-016,math,hard,8,Solve the system: 5x + 2y = 28 and x - y = 4. What is x?,-5.14,5.14,2.14,7.14,B,Substitute x = y + 4 into the first equation to get y = 1.14 and x = 5.14.,,heart of algebra|systems of equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch06-math-017,math,medium,6,"What is the distance between (-4, 5) and (6, -3)?",12.81,11.81,13.81,-12.81,A,Apply the distance formula.,,coordinate geometry|distance,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch06-math-018,math,easy,4,"What is the distance between (8, -7) and (-2, -7)?",-10,10,11,9,B,Apply the distance formula.,,coordinate geometry|distance,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch06-math-019,math,medium,6,"Find the slope of the line passing through (-5, 4) and (3, 10).",-0.25,1.75,0.75,-0.75,C,Apply the slope formula.,,coordinate geometry|slope,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
