_id,subject,difficulty,difficultyScore,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,graph,tags,metadata.generatedBy,metadata.generatedAt,metadata.timesUsed,metadata.averageAccuracy,metadata.averageTimeSpent,createdAt,updatedAt
batch01-math-001,math,easy,4,"If 3x - 7 = 11, what is the value of x?",6,4,2,-6,A,"Add 7 to both sides to get 3x = 18, then divide by 3 to find x = 6.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch01-math-002,math,medium,6,A system of equations is given by 2x + 3y = 22 and x - y = 1. What is the value of y?,3,4,5,6,B,"From x - y = 1, substitute x = y + 1. Then 2(y + 1) + 3y = 22 → 5y + 2 = 22 → y = 4.",,heart of algebra|systems of equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch01-math-003,math,easy,4,Which inequality represents all values of x for which 5 - 2x ≥ 11?,x ≤ -3,x ≥ -3,x ≤ 3,x ≥ 3,A,"Subtract 5 to get -2x ≥ 6, then divide by -2, reversing the sign: x ≤ -3.",,heart of algebra|inequalities,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch01-math-004,math,easy,4,"A line has slope -2 and passes through (1, 5). What is its y-intercept?",-3,7,3,-7,B,Use y = mx + b. Substituting gives 5 = -2(1) + b → b = 7.,,heart of algebra|slope intercept,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch01-math-005,math,medium,6,"A rideshare company charges an initial fee of $2.50 plus $1.75 per mile. Which equation models the total cost C, in dollars, of a ride that is m miles long?",C = 2.50m + 1.75,C = 1.75m + 2.50,C = 1.75m - 2.50,C = 2.50m - 1.75,B,"The slope represents the per-mile rate ($1.75), and the y-intercept is the initial fee ($2.50), so C = 1.75m + 2.50.",,heart of algebra|linear modeling,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch01-math-006,math,medium,6,The quadratic function f(x) = x^2 - 6x + 5 can be rewritten to reveal its vertex. What is the minimum value of f(x)?,-4,-1,1,4,A,Complete the square: f(x) = (x - 3)^2 - 4. The minimum value is -4.,,passport to advanced math|quadratics,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch01-math-007,math,easy,4,What are the solutions to x^2 - 9x + 20 = 0?,x = 4 or x = 5,x = 2 or x = 10,x = -4 or x = -5,x = -2 or x = 10,A,"Factor to (x - 4)(x - 5) = 0, giving x = 4 or x = 5.",,passport to advanced math|quadratics,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch01-math-008,math,medium,6,The graph of g(x) intersects the x-axis at x = -2 and x = 6 and opens upward. Which equation could represent g(x)?,g(x) = (x + 2)(x - 6),g(x) = -(x + 2)(x - 6),g(x) = (x - 2)(x - 6),g(x) = (x + 2)(x + 6),A,A quadratic with zeros at -2 and 6 factors as (x + 2)(x - 6) and opening upward keeps the positive leading coefficient.,,passport to advanced math|quadratic roots,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch01-math-009,math,medium,6,"A bacteria population doubles every 6 hours. If the initial population is 1,200, how many bacteria are there after 18 hours?","2,400","4,800","9,600","14,400",C,"Eighteen hours is three doubling periods: 1,200 × 2^3 = 1,200 × 8 = 9,600.",,passport to advanced math|exponential growth,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch01-math-010,math,medium,6,"A medication decays by 15% each hour. If 80 milligrams are present initially, which expression gives the amount after t hours?",80(0.85)^t,80(1.15)^t,80(0.15)^t,80(0.85t),A,"Exponential decay with 15% loss multiplies by 0.85 each hour, so amount = 80(0.85)^t.",,passport to advanced math|exponential decay,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch01-math-011,math,medium,6,Two numbers sum to 42 and have a difference of 6 (larger minus smaller). What is the larger number?,18,21,24,27,C,"Let the numbers be a and b with a > b. Then a + b = 42 and a - b = 6. Adding equations gives 2a = 48, so a = 24.",,heart of algebra|systems of equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
