_id,subject,difficulty,difficultyScore,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,graph,tags,metadata.generatedBy,metadata.generatedAt,metadata.timesUsed,metadata.averageAccuracy,metadata.averageTimeSpent,createdAt,updatedAt
batch09-math-001,math,easy,4,Solve for x: 6x - 12 = 18.,6,3,5,9,C,"Add 12 to both sides, then divide by 6 to get x = 5.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-math-002,math,easy,4,Solve for x: -5x + 20 = -10.,6,4,10,7,A,"Subtract 20 to both sides, then divide by -5 to get x = 6.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-math-003,math,easy,4,Solve for x: 8x + 16 = 48.,5,2,4,8,C,"Subtract 16 to both sides, then divide by 8 to get x = 4.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-math-004,math,medium,6,Solve for x: 12x - 24 = 48.,7,6,4,10,B,"Add 24 to both sides, then divide by 12 to get x = 6.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-math-005,math,medium,6,Solve for x: -9x - 18 = 9.,-2,-5,1,-3,D,"Add 18 to both sides, then divide by -9 to get x = -3.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-math-006,math,medium,6,Solve for x: 13x + 26 = 39.,5,2,1,-1,C,"Subtract 26 to both sides, then divide by 13 to get x = 1.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-math-007,math,hard,8,Solve for x: 4x - 28 = -12.,5,8,4,2,C,"Add 28 to both sides, then divide by 4 to get x = 4.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-math-008,math,hard,8,Solve for x: -10x + 6 = 76.,-6,-9,-3,-7,D,"Subtract 6 to both sides, then divide by -10 to get x = -7.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-math-009,math,easy,4,Which value satisfies 15 - 5x ≥ -10?,-2,1,4,2,D,Isolate x to find x ≥ 2.,,heart of algebra|inequalities,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-math-010,math,easy,4,Which value satisfies 4x + 7 ≤ 27?,8.75,-6.75,5.75,6.75,D,Isolate x to find x ≤ 6.75.,,heart of algebra|inequalities,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-math-011,math,medium,6,Which value satisfies 9 - 3x ≥ 0?,2,3,-1,0,D,Isolate x to find x ≥ 0.,,heart of algebra|inequalities,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-math-012,math,medium,6,Which value satisfies 6x - 11 ≤ 37?,6.17,5.17,8.17,-6.17,A,Isolate x to find x ≤ 6.17.,,heart of algebra|inequalities,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-math-013,math,medium,6,Solve the system: 4x + 3y = 50 and x - y = 5. What is x?,9.29,-9.29,6.29,11.29,A,Substitute x = y + 5 into the first equation to get y = 4.29 and x = 9.29.,,heart of algebra|systems of equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-math-014,math,medium,6,Solve the system: 6x + 6y = 84 and x - y = 7. What is x?,7.5,12.5,10.5,-10.5,C,Substitute x = y + 7 into the first equation to get y = 3.5 and x = 10.5.,,heart of algebra|systems of equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-math-015,math,hard,8,Solve the system: 8x + -4y = 44 and x - y = -3. What is x?,14,-14,16,11,A,Substitute x = y + -3 into the first equation to get y = 17 and x = 14.,,heart of algebra|systems of equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch09-math-016,math,hard,8,Solve the system: 5x + 2y = 28 and x - y = 4. What is x?,2.14,-5.14,5.14,7.14,C,Substitute x = y + 4 into the first equation to get y = 1.14 and x = 5.14.,,heart of algebra|systems of equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
