_id,subject,difficulty,difficultyScore,questionText,optionA,optionB,optionC,optionD,correctAnswer,explanation,graph,tags,metadata.generatedBy,metadata.generatedAt,metadata.timesUsed,metadata.averageAccuracy,metadata.averageTimeSpent,createdAt,updatedAt
batch03-math-001,math,easy,4,Solve for x: 5x - 15 = 10.,9,6,5,3,C,"Add 15 to both sides, then divide by 5 to get x = 5.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch03-math-002,math,easy,4,Solve for x: -6x + 24 = -12.,6,7,4,10,A,"Subtract 24 to both sides, then divide by -6 to get x = 6.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch03-math-003,math,easy,4,Solve for x: 4x + 8 = 40.,6,8,12,9,B,"Subtract 8 to both sides, then divide by 4 to get x = 8.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch03-math-004,math,medium,6,Solve for x: 9x - 18 = 36.,6,4,7,10,A,"Add 18 to both sides, then divide by 9 to get x = 6.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch03-math-005,math,medium,6,Solve for x: -7x - 14 = 7.,-3,-5,1,-2,A,"Add 14 to both sides, then divide by -7 to get x = -3.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch03-math-006,math,medium,6,Solve for x: 11x + 22 = 33.,1,-1,2,5,A,"Subtract 22 to both sides, then divide by 11 to get x = 1.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch03-math-007,math,hard,8,Solve for x: 3x - 21 = -9.,4,8,2,5,A,"Add 21 to both sides, then divide by 3 to get x = 4.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch03-math-008,math,hard,8,Solve for x: -8x + 5 = 61.,-3,-7,-9,-6,B,"Subtract 5 to both sides, then divide by -8 to get x = -7.",,heart of algebra|linear equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch03-math-009,math,easy,4,Which value satisfies 12 - 4x ≥ -8?,1,2,4,-2,B,Isolate x to find x ≥ 2.,,heart of algebra|inequalities,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch03-math-010,math,easy,4,Which value satisfies 3x + 5 ≤ 20?,6.67,8.67,-6.67,5.67,A,Isolate x to find x ≤ 6.67.,,heart of algebra|inequalities,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch03-math-011,math,medium,6,Which value satisfies 7 - 2x ≥ 1?,-0.5,0.5,1.5,-1.5,A,Isolate x to find x ≥ -0.5.,,heart of algebra|inequalities,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch03-math-012,math,medium,6,Which value satisfies 5x - 9 ≤ 31?,5.2,-6.2,8.2,6.2,D,Isolate x to find x ≤ 6.2.,,heart of algebra|inequalities,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch03-math-013,math,medium,6,Solve the system: 3x + 2y = 46 and x - y = 4. What is x?,12.8,10.8,-10.8,7.8,B,Substitute x = y + 4 into the first equation to get y = 6.8 and x = 10.8.,,heart of algebra|systems of equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
batch03-math-014,math,medium,6,Solve the system: 5x + 5y = 70 and x - y = 6. What is x?,7,-10,10,12,C,Substitute x = y + 6 into the first equation to get y = 4 and x = 10.,,heart of algebra|systems of equations,manual,2025-01-01T00:00:00.000Z,0,0,0,2025-01-01T00:00:00.000Z,2025-01-01T00:00:00.000Z
